Question,Answer
What is Presight's commitment to privacy as stated in the text?,"Presight is committed to protecting the privacy of its customers and visitors to its website. This commitment is outlined in their Privacy Policy, which explains how they collect, use, and disclose information about their customers and visitors."
What is the purpose of information collection in the provided text?,"The purpose of information collection in the provided text is to improve and provide the Service. The text mentions that various types of information are collected for different purposes. This implies that the collected data is used to enhance the user experience and optimize the functionality of the Service. However, the text does not specify the exact types of information collected or how they are used."
What types of personal data and usage data are collected while using the service?,"When using the service, the following personally identifiable information, also known as Personal Data, may be collected: email address, first name and last name, phone number, address, state/province, ZIP/postal code, city, and cookies. Personal Data can be used to contact or identify you.

Additionally, Usage Data is collected, which includes information sent by your browser or mobile device when accessing the service. Usage Data may consist of your computer's Internet Protocol address (e.g. IP address), browser type, browser version, the pages of the service you visit, the time and date of your visit, the time spent on those pages, unique device identifiers, and other diagnostic data."
What are the purposes for which Data Presight utilizes the collected data?,"Data Presight uses the collected data for several key purposes. First, they use it to provide and maintain their Service, ensuring it remains functional and up-to-date. They also use the data to notify users about any changes to the Service. 

Furthermore, Data Presight allows users to participate in interactive features of their Service, and they use the collected data to facilitate this interaction. They provide customer support using the data, which helps them address user issues more effectively.

In addition, Data Presight gathers analysis or valuable information from the data to improve their Service. They monitor the usage of their Service through the data, which helps them understand how users interact with their platform.

Lastly, Data Presight uses the collected data to detect, prevent, and address technical issues, ensuring a smooth and uninterrupted service for their users."
Why will I be asked to confirm that my personal information is correct before submitting it to Presight?,"The text indicates that you will be asked to confirm the correctness of your personal information prior to submitting it to Presight because they want to ensure the accuracy of the data they collect. This step is crucial for maintaining the quality of their database and reducing errors that might arise from incorrect or outdated information. It also shows respect for your privacy and data ownership, as you have the opportunity to review and verify your information before it is submitted."
How can I access my personal information held by the application?,"The text states that you have the right to access all of your personal information that the application holds. To do this, you need to log into the application. Once you are logged in, navigate to your settings and profile. From there, you will be able to access your personal information and make any corrections, amendments, or additions as necessary."
What is the purpose of the automated edit checks used by Presight when collecting personal information?,"The automated edit checks employed by Presight serve to ensure that data entry fields are completed correctly and accurately when personal information is being gathered. This process helps maintain data integrity, which is crucial for the smooth and efficient processing of individuals' personal data. By providing complete and valid information, users can help ensure that these checks are carried out effectively and that their data is managed correctly."
To whom does the company disclose application data?,"The company discloses application data to third-party service providers who assist them in providing their services. Specifically, they mention using Datadog, AWS (Amazon Web Services), Google Cloud, and Google Workspace. These service providers help the company in various ways, such as managing infrastructure, analyzing data, and facilitating communication and collaboration.

Additionally, the company may disclose information in response to a legal request, such as a subpoena or court order. This disclosure is intended to protect their rights or the rights of others, suggesting that they may share information when required by law or when necessary to ensure the safety and security of their users or operations."
"Will my personal data be shared or transferred to third parties, including AI models?","No, your personal data will not be subject to sharing, transfer, rental, or exchange for the benefit of third parties, including AI models. This statement provides assurance that the protection of your personal data is a priority and it will not be disclosed to external entities without your consent."
"What is the policy regarding the use of Google User Data and Google Workspace APIs for developing, improving, or training generalized/non-personalized AI and/or ML models?","The policy clearly states that the system does not retain or use Google User Data to develop, improve, or train generalized/non-personalized AI and/or ML models. This means that any data provided by users when they authenticate the platform to Google Workspace is not stored or used for the purpose of enhancing AI or machine learning models that are not specific to the individual user.

Furthermore, the policy also specifies that Google Workspace APIs are not used to develop, improve, or train generalized/non-personalized AI and/or ML models. This implies that the tools and interfaces provided by Google for interacting with Workspace are not utilized for the aforementioned AI and machine learning development purposes.

Lastly, the policy clearly states that Google User Data is not transferred to third-party AI tools for the purpose of developing, improving, or training generalized or non-personalized AI and/or ML models. This means that even if third-party tools are used, they do not receive any user data from Google for AI or machine learning model development purposes."
